ad_idx,name,url
15,도미노피자_이베,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%ED%94%BC%EC%9E%90_1318_1939_%EA%B3%B5%ED%86%B5/%5B%EB%8F%84%EB%AF%B8%EB%85%B8%ED%94%BC%EC%9E%90%5D+2%EC%9B%94+27%EC%9D%BC+%EB%8D%94%EB%B8%94%ED%81%AC%EB%9F%AC%EC%8A%A4%ED%8A%B8+%EC%9D%B4%EB%B2%A0%EB%A6%AC%EC%BD%94+%ED%94%BC%EC%9E%90+%EC%B6%9C%EC%8B%9C!.mp4
16,트로피카나_사과,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%ED%83%84%EC%82%B0%EC%9D%8C%EB%A3%8C_1318_%EA%B3%B5%ED%86%B5/%5B%ED%8A%B8%EB%A1%9C%ED%94%BC%EC%B9%B4%EB%82%98+%EC%8A%A4%ED%8C%8C%ED%81%B4%EB%A7%81%5D+%EB%AA%A8%EB%AA%A8%EB%9E%9C%EB%93%9C+%EC%A3%BC%EC%9D%B4_%EC%82%AC%EA%B3%BC%ED%8E%B8.mp4
17,트로피카나_복숭아,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%ED%83%84%EC%82%B0%EC%9D%8C%EB%A3%8C_1318_%EA%B3%B5%ED%86%B5/%5B%ED%8A%B8%EB%A1%9C%ED%94%BC%EC%B9%B4%EB%82%98+%EC%8A%A4%ED%8C%8C%ED%81%B4%EB%A7%81%5D+%EB%AA%A8%EB%AA%A8%EB%9E%9C%EB%93%9C+%EC%A3%BC%EC%9D%B4_%EB%B3%B5%EC%88%AD%EC%95%84%ED%8E%B8.mp4
18,트로피카나_망고,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%ED%83%84%EC%82%B0%EC%9D%8C%EB%A3%8C_1318_%EA%B3%B5%ED%86%B5/%5B+%ED%8A%B8%EB%A1%9C%ED%94%BC%EC%B9%B4%EB%82%98+%EC%8A%A4%ED%8C%8C%ED%81%B4%EB%A7%81+X+%EB%AA%A8%EB%AA%A8%EB%9E%9C%EB%93%9C+%EC%A3%BC%EC%9D%B4+%5D+%EB%A7%9D%EA%B3%A0+%ED%8E%B8.mp4
19,코카콜라_커피,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%ED%83%84%EC%82%B0%EC%9D%8C%EB%A3%8C_1318_%EA%B3%B5%ED%86%B5/%5B%EC%BD%94%EC%B9%B4-%EC%BD%9C%EB%9D%BC%5D+%EC%A7%9C%EB%A6%BF%ED%95%98%EA%B2%8C+%EB%82%98%EB%A5%B8%ED%95%9C+%EC%98%A4%ED%9B%84%EB%A5%BC+%EA%B9%A8%EC%9A%B8+%EC%8B%9C%EA%B0%84!+-+30_.mp4
20,오랑지나,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%ED%83%84%EC%82%B0%EC%9D%8C%EB%A3%8C_1318_%EA%B3%B5%ED%86%B5/%5B%EC%98%A4%EB%9E%91%EC%A7%80%EB%82%98%5D+TVCF+30_.mp4
21,스트롱사이다,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%ED%83%84%EC%82%B0%EC%9D%8C%EB%A3%8C_1318_%EA%B3%B5%ED%86%B5/%5B%EC%8A%A4%ED%8A%B8%EB%A1%B1%EC%82%AC%EC%9D%B4%EB%8B%A4X%EB%85%B8%EB%9D%BC%EC%A1%B0%5D+%EB%8D%94+%EB%8D%94+%EB%8D%94+%EC%8A%A4%ED%8A%B8%EB%A1%B1%ED%95%98%EA%B2%8C!+%EB%85%B8%EB%9D%BC%EC%A1%B0_!+(30_+ver.).mp4
22,60계치킨,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B9%98%ED%82%A8_1318_4069_%EA%B3%B5%ED%86%B5/%EB%A7%A4%EC%9D%BC+%EC%83%88+%EA%B8%B0%EB%A6%84!+60%EB%A7%88%EB%A6%AC%EB%A7%8C!+60%EA%B3%84%EC%B9%98%ED%82%A8!.mp4
23,bhc_맛초킹,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B9%98%ED%82%A8_1318_4069_%EA%B3%B5%ED%86%B5/%5Bbhc%5D+%EB%A6%AC%EC%96%BC%EC%88%99%EC%84%B1%EA%B0%84%EC%9E%A5%EC%9D%98+%EA%B9%8A%EC%9D%80+%EB%A7%9B+%EB%A7%9B%EC%B4%88%ED%82%B9+%EC%B9%98%ED%82%A8+_15s.mp4
24,bbq_자메이카,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B9%98%ED%82%A8_1318_4069_%EA%B3%B5%ED%86%B5/%5BBBQ+CF%5D+%ED%86%B5+%ED%81%AC%EA%B2%8C+%EB%A7%9B%EC%9E%88%EB%8B%A4_!+%EB%B9%84%EB%B9%84%ED%81%90+%EC%9E%90%EB%A9%94%EC%9D%B4%EC%B9%B4+%ED%86%B5%EB%8B%A4%EB%A6%AC%EA%B5%AC%EC%9D%B4%EC%9D%98+TV%EA%B4%91%EA%B3%A0%EA%B0%80+%EB%96%B4%EB%8B%A4!+%2315sec.mp4
